latitude,longitude,frp,confidence,satellite,data,data_hora,periodo
-6.95652,-44.54747,5.8,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.95573,-44.55217,5.8,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.57604,-47.91334,2.18,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.57504,-47.919,2.18,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.56635,-47.91161,4.53,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.44858,-44.56438,18.7,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.44777,-44.56927,18.7,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.44697,-44.57414,1.81,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.44617,-44.57901,1.81,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.44468,-44.56377,18.7,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.44387,-44.56868,18.7,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.44227,-44.57838,1.81,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.44079,-44.56318,14.87,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.43997,-44.56809,14.87,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.43917,-44.57295,2.17,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.43837,-44.57777,2.17,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.43689,-44.56261,14.87,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.43607,-44.5675,14.87,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.43527,-44.57236,2.17,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.43447,-44.57719,2.17,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.19148,-44.86235,0.74,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-6.18749,-44.86173,0.74,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-5.73166,-49.09967,0.83,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-5.73108,-49.10297,1.12,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-3.51028,-48.03837,1.85,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-3.50866,-48.03703,1.54,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-3.50813,-48.04027,0.96,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-3.50298,-48.03941,2.43,n,N,2026-06-11,2026-06-11 04:10:00,Noite
-13.68252,-44.29037,0.62,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-13.26594,-45.57843,2.22,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.8669,-44.37315,5.43,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.86336,-44.37252,5.43,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.86268,-44.37659,2.79,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.862,-44.38065,2.79,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.8605,-44.36783,3.5,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.85982,-44.37189,3.5,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.85914,-44.37596,2.72,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.85845,-44.38003,2.72,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.85777,-44.3841,1.41,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.85628,-44.37127,3.5,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.85559,-44.37534,2.72,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.85273,-44.37064,0.72,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.85205,-44.37471,1.03,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.77806,-46.82791,2.27,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.7471,-49.89589,1.66,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.37241,-47.89531,6.18,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.36881,-47.89016,5.98,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.36804,-47.89442,6.18,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.36367,-47.89357,2.16,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.31076,-47.91025,1.84,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.3072,-47.90491,2.39,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.30639,-47.90934,3.75,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.30558,-47.91373,3.75,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.30121,-47.91282,3.75,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.15091,-48.4478,1.66,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.15004,-48.45254,1.77,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.14548,-48.45165,1.74,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.14462,-48.45641,1.74,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.14375,-48.46114,1.26,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.14289,-48.4659,1.26,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.06113,-45.29349,0.73,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.05739,-45.29282,0.73,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.05364,-45.29215,1.1,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.05286,-45.29671,1.95,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.04536,-45.29541,2.28,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.03273,-47.80402,1.31,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.02832,-47.80334,2.72,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.01412,-49.27576,5.54,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.01247,-49.27249,3.03,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-12.01146,-49.27776,3.76,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-11.98237,-47.3828,1.2,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-11.98164,-47.38686,1.5,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-11.97738,-47.38603,1.97,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-11.87294,-47.10036,1.85,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-11.87255,-47.10345,7.18,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-11.87226,-47.10423,5.75,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-11.80226,-48.80061,2.66,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-11.79851,-48.79469,2.28,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-11.58241,-47.44783,4.61,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-11.58168,-47.45196,3.17,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-11.57809,-47.44705,2.02,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-11.57736,-47.45116,5.31,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-11.10873,-49.09373,2.3,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-11.10772,-49.09912,2.3,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-11.01603,-46.75803,0.72,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-10.98687,-46.75298,1.78,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-10.93437,-44.66655,0.71,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-10.93362,-44.67091,0.65,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-10.87985,-49.54187,1.53,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-10.85085,-46.78899,2.02,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-10.85016,-46.78971,1.24,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-10.84667,-46.78824,2.02,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-10.84664,-46.78517,1.69,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-10.84598,-46.78896,1.69,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-10.38251,-46.62045,5.83,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-10.38184,-46.62424,5.89,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-10.38117,-46.62805,5.89,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-10.37767,-46.62354,5.89,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-10.28623,-47.61386,5.03,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-10.28542,-47.61831,6.06,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.80571,-46.7009,4.76,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.74876,-47.88121,2.87,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.53185,-47.75422,0.82,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.53103,-47.75882,1.2,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.33132,-45.47956,0.72,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.33046,-45.48462,9.46,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.32738,-45.47887,0.72,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.32652,-45.48391,9.46,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.32567,-45.48896,9.46,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.32344,-45.47817,19.04,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.32259,-45.48321,16.92,h,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.32173,-45.48826,16.92,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.3195,-45.47746,19.04,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.31865,-45.48251,16.92,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.31557,-45.47675,19.45,h,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.31471,-45.48179,7.25,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.31236,-48.96603,4.81,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.31163,-45.47604,19.45,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.3113,-48.97188,4.19,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.30855,-45.47028,2.68,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.3077,-45.47532,2.68,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.30462,-45.46956,2.68,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.30376,-45.4746,2.68,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.30069,-45.46885,1.8,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.21726,-48.57855,1.89,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.21629,-48.58398,0.96,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.21273,-47.91499,2.44,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.21187,-47.91986,2.44,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.21143,-48.58315,0.96,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.2081,-47.91412,1.16,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.13847,-47.98127,1.19,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.13758,-47.98621,1.19,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.11055,-50.91728,1.2,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.11028,-47.96433,4.61,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-9.10488,-50.91623,0.81,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-8.99035,-48.08928,1.39,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-8.98617,-48.09004,0.84,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-8.98526,-48.09501,0.84,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-8.98477,-48.09341,1.2,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-8.66831,-46.60231,0.63,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-8.66333,-46.60554,0.6,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-8.51463,-47.02182,0.35,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-8.51022,-47.02103,0.55,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-7.91068,-47.07268,0.63,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-7.90619,-47.072,0.27,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-7.881,-47.10228,1.32,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-7.87824,-47.09935,2.34,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-7.8765,-47.1016,1.91,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-7.72476,-44.16187,2.03,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-7.72391,-44.16319,2.57,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-7.72018,-44.16256,0.48,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-7.62529,-50.04411,2.59,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-7.59925,-46.45985,1.15,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-7.59854,-46.46395,1.16,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-7.34965,-49.85038,1.23,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-7.34672,-47.01785,1.2,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-7.34419,-49.84946,0.75,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-7.24773,-49.5408,0.93,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-6.57589,-51.10052,5.62,n,N,2026-06-11,2026-06-11 04:12:00,Noite
-6.57514,-51.10466,14.46,h,N,2026-06-11,2026-06-11 04:12:00,Noite
-17.797,-44.5737,2.11,n,N,2026-06-11,2026-06-11 04:14:00,Noite
-17.79358,-44.57306,2.11,n,N,2026-06-11,2026-06-11 04:14:00,Noite
-17.70074,-45.52052,1.03,n,N,2026-06-11,2026-06-11 04:14:00,Noite
-17.60208,-44.61049,0.48,n,N,2026-06-11,2026-06-11 04:14:00,Noite
-13.96018,-46.19284,0.95,n,N,2026-06-11,2026-06-11 04:14:00,Noite
-13.94741,-46.17541,2.54,n,N,2026-06-11,2026-06-11 04:14:00,Noite
-13.54648,-47.81297,3.19,n,N,2026-06-11,2026-06-11 04:14:00,Noite
-13.54296,-47.80811,1.17,n,N,2026-06-11,2026-06-11 04:14:00,Noite
-13.53872,-47.80716,1.17,n,N,2026-06-11,2026-06-11 04:14:00,Noite
-13.53446,-47.80628,0.34,n,N,2026-06-11,2026-06-11 04:14:00,Noite
-13.53375,-47.8102,1.14,n,N,2026-06-11,2026-06-11 04:14:00,Noite
4.21387,-73.31699,2.66,n,N,2026-06-11,2026-06-11 05:50:00,Noite
4.21444,-73.32088,2.84,n,N,2026-06-11,2026-06-11 05:50:00,Noite
-16.51097,-59.35958,1.49,n,N,2026-06-11,2026-06-11 05:53:00,Noite
-16.13663,-60.54992,2.16,n,N,2026-06-11,2026-06-11 05:53:00,Noite
-16.13603,-60.5548,1.37,n,N,2026-06-11,2026-06-11 05:53:00,Noite
-16.13258,-60.54433,2.16,n,N,2026-06-11,2026-06-11 05:53:00,Noite
-16.13198,-60.54926,2.16,n,N,2026-06-11,2026-06-11 05:53:00,Noite
-16.13139,-60.55412,1.37,n,N,2026-06-11,2026-06-11 05:53:00,Noite
-11.84613,-72.94518,0.47,n,N,2026-06-11,2026-06-11 05:53:00,Noite
-11.84181,-72.94434,0.47,n,N,2026-06-11,2026-06-11 05:53:00,Noite
-10.31422,-59.57061,1.02,n,N,2026-06-11,2026-06-11 05:53:00,Noite
-17.72249,-66.29146,0.91,n,N,2026-06-11,2026-06-11 05:55:00,Noite
-17.71196,-59.99956,1.58,n,N,2026-06-11,2026-06-11 05:55:00,Noite
-17.53871,-59.65629,4.21,n,N,2026-06-11,2026-06-11 05:55:00,Noite
-17.53367,-59.65569,4.21,n,N,2026-06-11,2026-06-11 05:55:00,Noite
-17.50891,-59.61634,2.78,n,N,2026-06-11,2026-06-11 05:55:00,Noite
-17.50751,-59.61604,1.97,n,N,2026-06-11,2026-06-11 05:55:00,Noite
-17.48436,-59.60761,2.8,n,N,2026-06-11,2026-06-11 05:55:00,Noite
-17.46289,-59.48286,0.8,n,N,2026-06-11,2026-06-11 05:55:00,Noite
-17.46254,-59.4859,2.2,n,N,2026-06-11,2026-06-11 05:55:00,Noite
-16.66146,-67.86608,0.39,n,N,2026-06-11,2026-06-11 05:55:00,Noite
-11.5713,-67.01025,1.55,n,N,2026-06-11,2026-06-11 05:55:00,Noite
-10.07563,-65.33886,0.77,n,N,2026-06-11,2026-06-11 05:55:00,Noite
-17.20372,-47.6445,2.83,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-15.1491,-44.13192,2.14,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-14.65599,-48.02048,2.39,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-14.65249,-48.02095,3.88,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-14.65026,-48.00535,21.3,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-14.64677,-48.00585,21.3,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-14.39729,-45.55111,1.97,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-14.38764,-44.63865,3.28,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-14.30054,-49.24484,13.16,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-13.5861,-45.2478,10.18,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-13.58555,-45.24422,8.72,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-13.58333,-45.25193,5.88,l,N,2026-06-11,2026-06-11 16:45:00,Dia
-13.53472,-47.82456,6.05,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-13.49503,-44.73346,18.63,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-13.09026,-45.56052,6.24,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-12.86082,-44.3702,12.54,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-12.85767,-44.37057,17.52,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-12.85742,-44.37077,12.54,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-12.85707,-44.36684,17.52,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-12.85681,-44.36703,12.54,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-12.78471,-46.30034,2.11,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-12.7502,-49.89493,10.08,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-12.74957,-49.89034,10.08,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-12.34626,-50.03119,9.78,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-12.34562,-50.02661,9.78,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-11.93553,-49.30408,5.38,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-11.78612,-51.01893,6.87,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-11.78489,-51.01664,9.65,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-11.55535,-48.2673,5.6,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-11.43544,-44.6746,5.27,l,N,2026-06-11,2026-06-11 16:45:00,Dia
-11.33953,-45.41418,7.76,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-11.33674,-45.4183,11.72,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-11.33618,-45.41471,11.72,h,N,2026-06-11,2026-06-11 16:45:00,Dia
-11.33562,-45.41113,6.39,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-11.33283,-45.41525,11.72,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-10.7784,-44.04268,11.69,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-10.77775,-44.03873,11.69,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-10.50219,-44.75475,2.5,n,N,2026-06-11,2026-06-11 16:45:00,Dia
-11.06554,-52.45366,4.81,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.60024,-53.46844,7.46,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.59631,-53.47376,13.25,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.52538,-46.11245,16.77,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.51152,-46.11103,4.15,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.44891,-46.56381,9.72,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.44559,-46.56433,6.84,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.28092,-46.61245,2.44,l,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.28039,-46.60894,2.44,l,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.27536,-46.62048,4.79,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.27482,-46.61699,4.79,l,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.25711,-46.5014,9.86,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.25046,-46.50243,5.1,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.24993,-46.49893,5.1,l,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.24949,-46.47389,5.27,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.24895,-46.47038,5.27,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.21267,-46.76655,3.13,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.20988,-46.77057,2.8,l,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.20934,-46.76706,3.13,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.20656,-46.77109,5.84,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.20602,-46.76758,7.12,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-10.19087,-46.90686,3.52,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.78545,-48.07753,3.14,l,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.70093,-47.08582,3.32,l,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.7004,-47.08232,3.32,l,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.67655,-48.09473,46.3,l,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.67601,-48.09113,22.48,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.67318,-48.09524,46.3,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.67264,-48.09164,22.48,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.6697,-48.18818,3.42,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.643,-48.22564,7.87,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.64016,-48.22979,7.87,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.63435,-48.26038,2.95,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.62935,-48.25003,3.29,l,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.55928,-47.31316,6.73,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.506,-48.26187,4.1,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.49312,-48.33833,3.08,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.21488,-48.5789,4.4,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.21045,-47.91428,5.0,l,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.16894,-47.79703,3.41,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.11272,-47.96181,5.82,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.06401,-44.76268,4.78,l,N,2026-06-11,2026-06-11 16:48:00,Dia
-9.05668,-44.78349,3.4,l,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.93518,-45.69272,7.23,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.93462,-45.68912,7.23,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.93125,-45.68966,15.56,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.92731,-45.68658,8.86,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.90191,-47.05629,4.79,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.66963,-46.60333,2.8,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.64471,-47.65576,7.26,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.57016,-45.98645,5.55,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.5369,-47.61139,6.76,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.53357,-47.61191,6.76,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.48408,-47.57352,1.93,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.48355,-47.57003,1.93,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.40057,-47.73408,2.44,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.40044,-47.75568,1.82,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.39297,-47.70651,9.1,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.30491,-46.21127,5.52,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.30158,-46.21184,2.51,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.30103,-46.20831,2.51,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.26753,-47.57225,3.46,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.2642,-47.57276,3.46,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.15183,-47.54368,4.0,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.1485,-47.54419,7.09,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.14518,-47.5447,7.09,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.07243,-47.77828,9.15,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.0691,-47.7788,3.5,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-8.06856,-47.77529,5.25,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-7.99836,-46.06451,33.05,l,N,2026-06-11,2026-06-11 16:48:00,Dia
-7.9978,-46.06093,33.05,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-7.995,-46.06502,36.53,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-7.99444,-46.06144,36.53,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-7.99388,-46.05784,25.36,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-7.99107,-46.06192,36.53,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-7.99051,-46.05833,25.36,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-7.98715,-46.05883,6.54,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-7.98659,-46.05526,6.54,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-7.92412,-47.07332,5.82,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-7.9208,-47.07383,18.82,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-7.91748,-47.07434,18.82,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-7.91694,-47.07086,2.98,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-7.89316,-47.82433,2.36,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-7.87642,-47.09486,2.39,n,N,2026-06-11,2026-06-11 16:48:00,Dia
-7.8731,-47.09536,2.39,n,N,2026-06-11,2026-06-11 16:48:00,Dia
